Date,Open,High,Low,Close,Volume,Sector_Close,Order_Flow
2022-05-18,3372.5,4537.5,3372.5,3801.0,22,3801.0,0
2022-05-19,3450.0,3450.0,3437.5,3437.5,9,3437.5,0
2022-05-20,3437.5,3437.5,3437.5,3437.5,0,3437.5,0
2022-05-23,3437.5,3437.5,3437.5,3437.5,0,3437.5,0
2022-05-24,3437.5,3437.5,3437.5,3437.5,0,3437.5,0
2022-05-25,3437.5,3437.5,3437.5,3437.5,0,3437.5,0
2022-05-26,3437.5,3437.5,3437.5,3437.5,0,3437.5,0
2022-05-27,3437.5,3437.5,3437.5,3437.5,0,3437.5,0
2022-05-31,2210.0,2210.0,2150.0,2150.0,3,2150.0,0
2022-06-01,2115.0,2115.0,2115.0,2115.0,2,2115.0,0
2022-06-02,1925.0,1972.5,1925.0,1972.5,3,1972.5,0
2022-06-03,2047.5,2047.5,2020.0,2020.0,2,2020.0,0
2022-06-06,2027.5,2027.5,2027.5,2027.5,2,2027.5,0
2022-06-07,2027.5,2027.5,2027.5,2027.5,0,2027.5,0
2022-06-08,2027.5,2027.5,2027.5,2027.5,0,2027.5,0
2022-06-09,2075.0,2175.0,2075.0,2175.0,3,2175.0,0
2022-06-10,2175.0,2175.0,2175.0,2175.0,0,2175.0,0
2022-06-13,1925.0,1925.0,1925.0,1925.0,1,1925.0,0
2022-06-14,1925.0,1925.0,1925.0,1925.0,0,1925.0,0
2022-06-15,1925.0,1925.0,1925.0,1925.0,0,1925.0,0
2022-06-16,1925.0,1925.0,1925.0,1925.0,0,1925.0,0
2022-06-17,1500.0,1710.0,1500.0,1707.5,4,1707.5,0
2022-06-21,1707.5,1707.5,1707.5,1707.5,0,1707.5,0
2022-06-22,1707.5,1707.5,1707.5,1707.5,0,1707.5,0
2022-06-23,1707.5,1707.5,1707.5,1707.5,0,1707.5,0
2022-06-24,1707.5,1707.5,1707.5,1707.5,0,1707.5,0
2022-06-27,1572.5,1575.0,1548.75,1548.75,5,1548.75,0
2022-06-28,1537.5,1575.0,1534.5,1537.5,7,1537.5,0
2022-06-29,1575.0,1575.0,1575.0,1575.0,5,1575.0,0
2022-06-30,774.25,782.5,475.0,507.5,12397,507.5,0
2022-07-01,487.5,497.5,332.5,347.5,10682,347.5,0
2022-07-05,340.0,375.0,307.5,310.0,6807,310.0,0
2022-07-06,295.0,422.5,275.0,302.5,22553,302.5,0
2022-07-07,365.0,416.25,320.0,332.5,69520,332.5,0
2022-07-08,320.0,337.5,310.0,320.0,11449,320.0,0
2022-07-11,295.0,302.5,282.5,285.0,6127,285.0,0
2022-07-12,280.0,287.5,260.0,262.5,6006,262.5,0
2022-07-13,246.25,255.0,227.5,243.75,5618,243.75,0
2022-07-14,237.5,242.5,220.0,228.75,4714,228.75,0
2022-07-15,235.0,235.0,224.0,231.0,3911,231.0,0
2022-07-18,230.0,265.0,230.0,245.0,9326,245.0,0
2022-07-19,244.0,298.5,242.5,292.5,12599,292.5,0
2022-07-20,302.5,310.0,272.5,275.0,11718,275.0,0
2022-07-21,265.0,282.5,257.5,272.5,6312,272.5,0
2022-07-22,272.5,272.5,245.0,255.0,4411,255.0,0
2022-07-25,247.5,277.5,240.0,255.0,4990,255.0,0
2022-07-26,242.5,248.0,217.5,221.0,6545,221.0,0
2022-07-27,227.0,445.0,227.0,317.5,231318,317.5,0
2022-07-28,360.0,365.0,282.5,337.5,139976,337.5,0
2022-07-29,305.0,315.0,260.0,277.5,34748,277.5,0
2022-08-01,265.0,277.5,250.0,270.0,22838,270.0,0
2022-08-02,285.0,337.5,277.5,282.5,50321,282.5,0
2022-08-03,285.0,290.0,265.0,275.0,18153,275.0,0
2022-08-04,272.5,297.5,265.0,277.5,17144,277.5,0
2022-08-05,272.5,287.5,262.5,267.5,9198,267.5,0
2022-08-08,270.0,282.5,265.0,272.5,10230,272.5,0
2022-08-09,270.0,272.5,252.5,262.5,7512,262.5,0
2022-08-10,267.5,277.5,260.0,277.5,9074,277.5,0
2022-08-11,282.5,310.0,275.0,280.0,11470,280.0,0
2022-08-12,282.5,300.0,282.5,297.5,8942,297.5,0
2022-08-15,271.25,275.0,262.5,270.0,8394,270.0,0
2022-08-16,270.0,325.0,262.5,280.0,36203,280.0,0
2022-08-17,282.5,307.5,270.0,272.5,22904,272.5,0
2022-08-18,280.0,285.0,267.5,277.5,11731,277.5,0
2022-08-19,267.5,272.5,246.5,255.0,13876,255.0,0
2022-08-22,252.5,257.5,241.25,243.0,6579,243.0,0
2022-08-23,241.25,245.0,217.25,221.25,9739,221.25,0
2022-08-24,225.0,231.25,222.5,225.75,3784,225.75,0
2022-08-25,230.0,234.5,222.5,223.75,3521,223.75,0
2022-08-26,227.0,227.5,215.0,216.5,3950,216.5,0
2022-08-29,207.5,220.0,207.5,216.75,3966,216.75,0
2022-08-30,212.5,217.5,196.25,197.0,5096,197.0,0
2022-08-31,197.5,200.0,195.0,196.75,1528,196.75,0
2022-09-01,195.25,199.5,181.25,191.75,2958,191.75,0
2022-09-02,200.0,206.25,186.75,193.75,2810,193.75,0
2022-09-06,198.0,200.0,191.5,196.25,1439,196.25,0
2022-09-07,195.0,199.75,190.0,194.25,1217,194.25,0
2022-09-08,190.25,200.0,185.5,189.0,1326,189.0,0
2022-09-09,194.25,200.0,190.75,197.0,1901,197.0,0
2022-09-12,200.0,215.0,192.5,203.25,4229,203.25,0
2022-09-13,192.75,197.5,190.25,193.75,2129,193.75,0
2022-09-14,192.5,203.25,187.75,198.5,1997,198.5,0
2022-09-15,225.0,230.0,197.5,204.0,20922,204.0,0
2022-09-16,201.0,204.5,183.25,185.0,4314,185.0,0
2022-09-19,184.75,189.75,165.0,167.5,3805,167.5,0
2022-09-20,170.0,180.0,167.5,175.0,2482,175.0,0
2022-09-21,173.75,186.5,165.0,172.5,2665,172.5,0
2022-09-22,172.75,179.5,163.75,173.25,2257,173.25,0
2022-09-23,170.25,177.5,163.75,172.75,2720,172.75,0
2022-09-26,167.75,182.5,165.0,167.5,1592,167.5,0
2022-09-27,168.5,175.0,165.75,170.25,1092,170.25,0
2022-09-28,164.75,177.25,163.0,172.5,1262,172.5,0
2022-09-29,172.75,174.25,166.25,171.0,1087,171.0,0
2022-09-30,171.25,177.5,168.25,173.25,1485,173.25,0
2022-10-03,170.25,182.5,170.25,176.5,1130,176.5,0
2022-10-04,182.0,182.5,176.5,179.25,1285,179.25,0
2022-10-05,176.25,185.0,175.0,182.5,984,182.5,0
2022-10-06,182.5,190.0,180.0,187.75,1253,187.75,0
2022-10-07,189.75,189.75,177.5,182.0,1106,182.0,0
2022-10-10,177.5,187.5,169.75,184.0,1556,184.0,0
2022-10-11,184.0,185.75,176.25,182.5,601,182.5,0
2022-10-12,182.5,183.0,172.5,180.25,749,180.25,0
2022-10-13,171.5,186.25,171.5,185.0,743,185.0,0
2022-10-14,182.5,190.0,180.25,188.0,1326,188.0,0
2022-10-17,187.5,196.25,182.75,195.25,1351,195.25,0
2022-10-18,197.5,200.0,177.75,183.0,2120,183.0,0
2022-10-19,181.75,184.25,175.0,177.5,892,177.5,0
2022-10-20,177.25,178.75,171.25,176.25,706,176.25,0
2022-10-21,176.5,176.5,165.0,169.75,1427,169.75,0
2022-10-24,168.75,168.75,152.75,158.75,1267,158.75,0
2022-10-25,157.75,167.5,157.5,164.0,1714,164.0,0
2022-10-26,160.0,168.75,155.5,156.25,1466,156.25,0
2022-10-27,158.5,160.0,140.25,144.25,2518,144.25,0
2022-10-28,142.75,145.0,130.0,142.75,2436,142.75,0
2022-10-31,139.5,140.0,130.5,135.75,853,135.75,0
2022-11-01,140.0,140.5,132.5,136.5,1421,136.5,0
2022-11-02,137.5,137.5,130.25,130.25,1048,130.25,0
2022-11-03,134.0,135.0,114.0,116.75,2621,116.75,0
2022-11-04,116.75,119.5,112.75,115.0,951,115.0,0
2022-11-07,115.0,124.5,103.5,112.0,1430,112.0,0
2022-11-08,108.75,117.5,107.5,109.5,828,109.5,0
2022-11-09,107.5,107.75,92.5,96.0,1544,96.0,0
2022-11-10,96.5,107.5,96.25,106.75,1124,106.75,0
2022-11-11,104.75,115.0,102.75,113.25,955,113.25,0
2022-11-14,114.0,115.0,106.25,111.0,672,111.0,0
2022-11-15,112.5,118.0,109.5,112.5,763,112.5,0
2022-11-16,112.5,112.5,105.25,107.5,497,107.5,0
2022-11-17,107.25,110.0,101.25,103.0,619,103.0,0
2022-11-18,107.5,107.5,100.0,100.75,518,100.75,0
2022-11-21,102.5,102.5,92.5,93.75,884,93.75,0
2022-11-22,95.0,95.0,87.75,93.75,2220,93.75,0
2022-11-23,92.25,92.25,87.5,89.0,1112,89.0,0
2022-11-25,88.75,89.0,82.5,83.5,806,83.5,0
2022-11-28,83.25,85.0,75.0,75.75,2132,75.75,0
2022-11-29,77.25,77.25,70.25,72.5,2215,72.5,0
2022-11-30,75.0,75.0,71.25,73.75,950,73.75,0
2022-12-01,75.0,76.25,72.75,74.75,949,74.75,0
2022-12-02,74.75,75.0,72.5,75.0,950,75.0,0
2022-12-05,75.0,75.0,72.0,72.5,549,72.5,0
2022-12-06,72.25,72.25,62.75,66.25,1622,66.25,0
2022-12-07,69.5,69.5,62.75,64.5,978,64.5,0
2022-12-08,64.5,67.5,62.5,64.25,1609,64.25,0
2022-12-09,64.0,67.5,62.75,66.5,572,66.5,0
2022-12-12,67.5,75.75,66.5,70.5,1804,70.5,0
2022-12-13,70.0,73.75,66.25,67.5,914,67.5,0
2022-12-14,65.5,70.0,62.5,68.0,1338,68.0,0
2022-12-15,66.0,73.5,64.0,65.25,4064,65.25,0
2022-12-16,65.0,75.0,62.75,75.0,3143,75.0,0
2022-12-19,72.75,72.75,66.5,72.0,1472,72.0,0
2022-12-20,67.25,72.0,65.25,72.0,1577,72.0,0
2022-12-21,66.5,70.0,65.25,66.75,880,66.75,0
2022-12-22,67.25,69.5,59.5,60.75,1591,60.75,0
2022-12-23,64.5,67.25,58.75,59.0,516,59.0,0
2022-12-27,51.75,60.0,51.75,55.25,1142,55.25,0
2022-12-28,55.5,56.25,43.25,48.0,2426,48.0,0
2022-12-29,44.5,50.0,44.0,48.0,3484,48.0,0
2022-12-30,46.5,49.5,46.5,48.0,1723,48.0,0
2023-01-03,47.25,50.0,46.25,48.25,1402,48.25,0
2023-01-04,57.5,142.5,53.0,87.5,280529,87.5,0
2023-01-05,72.5,79.75,67.25,73.5,19819,73.5,0
2023-01-06,75.75,107.5,65.25,81.0,39433,81.0,0
2023-01-09,86.25,97.5,72.5,80.75,14432,80.75,0
2023-01-10,82.5,85.0,77.75,80.25,6345,80.25,0
2023-01-11,80.25,85.0,71.25,75.0,7302,75.0,0
2023-01-12,77.25,85.0,72.5,76.5,17978,76.5,0
2023-01-13,75.0,77.5,70.0,74.0,19956,74.0,0
2023-01-17,74.25,78.5,71.75,75.0,12896,75.0,0
2023-01-18,73.5,75.0,65.0,66.5,11617,66.5,0
2023-01-19,68.5,69.25,63.0,65.0,6666,65.0,0
2023-01-20,67.5,73.75,65.0,70.0,18552,70.0,0
2023-01-23,70.0,79.25,64.5,69.75,69942,69.75,0
2023-01-24,66.25,67.5,62.5,64.25,33715,64.25,0
2023-01-25,64.25,65.0,57.5,60.25,21452,60.25,0
2023-01-26,72.75,87.5,53.0,57.0,451704,57.0,0
2023-01-27,54.75,55.0,49.75,51.75,89910,51.75,0
2023-01-30,51.25,53.5,47.75,50.75,44699,50.75,0
2023-01-31,50.0,55.5,49.5,54.0,30234,54.0,0
2023-02-01,54.0,54.0,50.25,52.0,19390,52.0,0
2023-02-02,51.25,56.0,50.5,54.25,33795,54.25,0
2023-02-03,54.25,55.0,50.25,51.0,29329,51.0,0
2023-02-06,52.5,54.25,50.75,52.0,19808,52.0,0
2023-02-07,52.0,52.5,49.5,50.5,17755,50.5,0
2023-02-08,51.25,52.0,48.5,48.5,14305,48.5,0
2023-02-09,55.25,57.5,48.0,48.75,129803,48.75,0
2023-02-10,47.5,47.5,43.75,44.75,31068,44.75,0
2023-02-13,45.25,51.75,45.0,47.5,24773,47.5,0
2023-02-14,46.5,49.5,46.25,47.5,9456,47.5,0
2023-02-15,47.0,48.0,46.75,48.0,17356,48.0,0
2023-02-16,47.25,48.0,44.5,46.0,19571,46.0,0
2023-02-17,46.0,46.25,42.75,43.25,19522,43.25,0
2023-02-21,45.0,45.0,40.0,41.5,17076,41.5,0
2023-02-22,40.0,46.5,38.75,45.25,21534,45.25,0
2023-02-23,45.0,46.0,42.5,45.25,9962,45.25,0
2023-02-24,44.25,45.25,41.0,42.25,8973,42.25,0
2023-02-27,41.0,43.25,41.0,43.0,5089,43.0,0
2023-02-28,43.25,45.0,41.75,42.75,4369,42.75,0
2023-03-01,44.5,44.75,42.5,44.0,6790,44.0,0
2023-03-02,43.25,46.5,43.25,45.0,6825,45.0,0
2023-03-03,45.0,45.25,43.25,45.0,5386,45.0,0
2023-03-06,43.75,45.0,43.25,44.0,5314,44.0,0
2023-03-07,44.25,44.75,39.0,42.5,9866,42.5,0
2023-03-08,42.0,42.0,40.0,40.25,7299,40.25,0
2023-03-09,41.75,41.75,38.5,39.5,7708,39.5,0
2023-03-10,38.5,39.5,35.25,36.25,9441,36.25,0
2023-03-13,37.5,37.5,35.0,36.75,7353,36.75,0
2023-03-14,36.75,40.0,34.5,35.0,7540,35.0,0
2023-03-15,34.0,35.0,30.0,31.25,11386,31.25,0
2023-03-16,30.0,31.25,25.25,26.75,34040,26.75,0
2023-03-17,26.5,27.25,21.5,24.5,30222,24.5,0
2023-03-20,24.25,26.25,23.75,24.75,8857,24.75,0
2023-03-21,24.75,29.75,24.75,27.5,38757,27.5,0
2023-03-22,26.75,26.75,23.75,24.5,14340,24.5,0
2023-03-23,24.25,26.75,22.75,24.25,21932,24.25,0
2023-03-24,23.75,25.5,21.25,22.5,29737,22.5,0
2023-03-27,23.0,23.75,21.75,22.25,15849,22.25,0
2023-03-28,22.25,22.5,20.25,20.5,14460,20.5,0
2023-03-29,21.25,22.0,20.5,21.75,15406,21.75,0
2023-03-30,22.5,24.25,20.75,21.0,36278,21.0,0
2023-03-31,21.0,21.75,19.5,20.75,30112,20.75,0
2023-04-03,20.75,20.75,13.75,14.25,95188,14.25,0
2023-04-04,16.0,16.0,11.050000190734863,11.600000381469727,196800,11.600000381469727,0
2023-04-05,10.949999809265137,11.5,9.25,9.25,50180,9.25,0
2023-04-06,12.050000190734863,15.0,8.039999961853027,11.800000190734863,2805240,11.800000190734863,0
2023-04-10,10.899999618530273,12.300000190734863,10.149999618530273,11.800000190734863,170240,11.800000190734863,0
2023-04-11,11.899999618530273,12.25,10.550000190734863,11.5,130860,11.5,0
2023-04-12,11.699999809265137,12.149999618530273,10.975000381469727,11.449999809265137,32580,11.449999809265137,0
2023-04-13,11.25,12.600000381469727,11.25,12.449999809265137,45000,12.449999809265137,0
2023-04-14,12.75,22.299999237060547,12.5,15.550000190734863,601960,15.550000190734863,0
2023-04-17,16.0,16.399999618530273,14.050000190734863,14.75,83400,14.75,0
2023-04-18,13.75,13.75,12.5,13.25,55640,13.25,0
2023-04-19,13.149999618530273,13.850000381469727,11.649999618530273,13.800000190734863,43300,13.800000190734863,0
2023-04-20,13.5,15.75,13.175000190734863,14.949999809265137,81860,14.949999809265137,0
2023-04-21,14.399999618530273,14.600000381469727,12.5,12.850000381469727,44280,12.850000381469727,0
2023-04-24,12.699999809265137,13.270000457763672,12.050000190734863,12.25,30720,12.25,0
2023-04-25,12.050000190734863,12.649999618530273,11.050000190734863,11.300000190734863,21180,11.300000190734863,0
2023-04-26,11.100000381469727,11.449999809265137,10.649999618530273,11.050000190734863,20260,11.050000190734863,0
2023-04-27,10.949999809265137,11.0,9.899999618530273,10.25,28740,10.25,0
2023-04-28,9.899999618530273,10.0,9.25,9.550000190734863,30940,9.550000190734863,0
2023-05-01,9.75,10.75,9.699999809265137,10.5,22640,10.5,0
2023-05-02,10.399999618530273,14.0,10.0649995803833,13.600000381469727,171920,13.600000381469727,0
2023-05-03,11.949999809265137,12.449999809265137,11.0,11.300000190734863,43320,11.300000190734863,0
2023-05-04,11.699999809265137,11.850000381469727,10.800000190734863,11.0,17140,11.0,0
2023-05-05,11.050000190734863,12.0,10.75,11.300000190734863,23300,11.300000190734863,0
2023-05-08,11.550000190734863,11.949999809265137,11.100000381469727,11.350000381469727,10100,11.350000381469727,0
2023-05-09,11.699999809265137,11.75,10.5,10.600000381469727,17940,10.600000381469727,0
2023-05-10,10.5,11.199999809265137,10.100000381469727,10.350000381469727,16780,10.350000381469727,0
2023-05-11,10.649999618530273,10.699999809265137,10.050000190734863,10.149999618530273,11440,10.149999618530273,0
2023-05-12,10.399999618530273,10.430000305175781,9.5,10.0,11380,10.0,0
2023-05-15,10.0,10.199999809265137,9.699999809265137,10.050000190734863,7600,10.050000190734863,0
2023-05-16,9.800000190734863,10.274999618530273,9.699999809265137,10.0,5100,10.0,0
2023-05-17,11.300000190734863,12.199999809265137,8.90999984741211,10.0,1258500,10.0,0
2023-05-18,9.199999809265137,9.899999618530273,9.050000190734863,9.5,70260,9.5,0
2023-05-19,9.100000381469727,9.5,9.0,9.199999809265137,33720,9.199999809265137,0
2023-05-22,9.25,10.100000381469727,9.199999809265137,9.75,44140,9.75,0
2023-05-23,9.800000190734863,9.899999618530273,9.25,9.449999809265137,17960,9.449999809265137,0
2023-05-24,9.350000381469727,9.375,9.074999809265137,9.199999809265137,8620,9.199999809265137,0
2023-05-25,10.25,10.5,8.600000381469727,9.399999618530273,203760,9.399999618530273,0
2023-05-26,9.399999618530273,9.600000381469727,9.050000190734863,9.5,17040,9.5,0
2023-05-30,9.649999618530273,9.649999618530273,9.25,9.5,15780,9.5,0
2023-05-31,9.5,9.600000381469727,8.75,8.899999618530273,11520,8.899999618530273,0
2023-06-01,8.949999809265137,9.25,8.800000190734863,8.949999809265137,9180,8.949999809265137,0
2023-06-02,9.350000381469727,9.350000381469727,8.800000190734863,9.100000381469727,14420,9.100000381469727,0
2023-06-05,9.5,9.5,8.850000381469727,9.050000190734863,14220,9.050000190734863,0
2023-06-06,9.199999809265137,9.600000381469727,8.850000381469727,9.100000381469727,30420,9.100000381469727,0
2023-06-07,9.199999809265137,9.399999618530273,8.899999618530273,9.050000190734863,8680,9.050000190734863,0
2023-06-08,9.0,9.25,8.899999618530273,9.25,11580,9.25,0
2023-06-09,9.300000190734863,9.449999809265137,8.899999618530273,9.25,14200,9.25,0
2023-06-12,9.050000190734863,11.0,8.899999618530273,9.800000190734863,102640,9.800000190734863,0
2023-06-13,9.75,9.949999809265137,7.849999904632568,8.550000190734863,62760,8.550000190734863,0
2023-06-14,8.649999618530273,9.0,8.25,8.850000381469727,27080,8.850000381469727,0
2023-06-15,8.800000190734863,8.800000190734863,8.199999809265137,8.600000381469727,12160,8.600000381469727,0
2023-06-16,8.699999809265137,8.850000381469727,8.5,8.649999618530273,12100,8.649999618530273,0
2023-06-20,8.5,8.899999618530273,8.449999809265137,8.800000190734863,14980,8.800000190734863,0
2023-06-21,9.25,9.949999809265137,8.550000190734863,9.25,977160,9.25,0
2023-06-22,8.550000190734863,8.630000114440918,7.650000095367432,8.25,60940,8.25,0
2023-06-23,7.900000095367432,8.149999618530273,7.699999809265137,7.699999809265137,56000,7.699999809265137,0
2023-06-26,7.699999809265137,7.920000076293945,7.150000095367432,7.449999809265137,18780,7.449999809265137,0
2023-06-27,7.5,7.650000095367432,7.199999809265137,7.349999904632568,17020,7.349999904632568,0
2023-06-28,7.449999809265137,7.474999904632568,7.199999809265137,7.25,11860,7.25,0
2023-06-29,7.150000095367432,7.5,7.0,7.150000095367432,11000,7.150000095367432,0
2023-06-30,7.199999809265137,7.800000190734863,7.050000190734863,7.050000190734863,25580,7.050000190734863,0
2023-07-03,7.150000095367432,7.650000095367432,7.150000095367432,7.150000095367432,19480,7.150000095367432,0
2023-07-05,7.25,7.300000190734863,6.75,6.949999809265137,32240,6.949999809265137,0
2023-07-06,7.150000095367432,7.150000095367432,6.599999904632568,6.650000095367432,9940,6.650000095367432,0
2023-07-07,6.849999904632568,7.099999904632568,6.574999809265137,6.800000190734863,20840,6.800000190734863,0
2023-07-10,6.75,7.5,6.724999904632568,7.099999904632568,34960,7.099999904632568,0
2023-07-11,7.199999809265137,7.239999771118164,6.900000095367432,6.949999809265137,15700,6.949999809265137,0
2023-07-12,7.300000190734863,7.5,7.050000190734863,7.449999809265137,129600,7.449999809265137,0
2023-07-13,7.699999809265137,9.149999618530273,7.650000095367432,8.100000381469727,150700,8.100000381469727,0
2023-07-14,7.949999809265137,8.0,7.349999904632568,7.550000190734863,32500,7.550000190734863,0
2023-07-17,7.599999904632568,8.100000381469727,7.400000095367432,8.0,32400,8.0,0
2023-07-18,8.0,8.100000381469727,7.599999904632568,7.900000095367432,6820,7.900000095367432,0
2023-07-19,7.949999809265137,7.949999809265137,7.550000190734863,7.550000190734863,11240,7.550000190734863,0
2023-07-20,7.75,7.75,7.25,7.550000190734863,14780,7.550000190734863,0
2023-07-21,7.699999809265137,7.699999809265137,7.150000095367432,7.5,10980,7.5,0
2023-07-24,7.5,8.734999656677246,7.349999904632568,8.350000381469727,136200,8.350000381469727,0
2023-07-25,8.449999809265137,8.449999809265137,7.400000095367432,7.599999904632568,33140,7.599999904632568,0
2023-07-26,7.599999904632568,8.050000190734863,7.400000095367432,7.75,12600,7.75,0
2023-07-27,7.699999809265137,8.300000190734863,7.5,7.699999809265137,25260,7.699999809265137,0
2023-07-28,7.849999904632568,7.949999809265137,6.949999809265137,7.25,37600,7.25,0
2023-07-31,7.199999809265137,7.5,6.5,7.0,33940,7.0,0
2023-08-01,6.800000190734863,7.28000020980835,6.800000190734863,7.099999904632568,7560,7.099999904632568,0
2023-08-02,6.949999809265137,7.199999809265137,6.949999809265137,7.0,8660,7.0,0
2023-08-03,7.099999904632568,7.099999904632568,6.800000190734863,6.849999904632568,6260,6.849999904632568,0
2023-08-04,6.949999809265137,6.949999809265137,6.75,6.75,8040,6.75,0
2023-08-07,6.75,6.849999904632568,6.449999809265137,6.449999809265137,8760,6.449999809265137,0
2023-08-08,6.349999904632568,6.449999809265137,6.050000190734863,6.349999904632568,13020,6.349999904632568,0
2023-08-09,6.199999809265137,6.449999809265137,6.199999809265137,6.300000190734863,3880,6.300000190734863,0
2023-08-10,6.260000228881836,6.449999809265137,6.0,6.099999904632568,7560,6.099999904632568,0
2023-08-11,5.900000095367432,5.914999961853027,5.300000190734863,5.349999904632568,21900,5.349999904632568,0
2023-08-14,5.5,5.550000190734863,5.150000095367432,5.400000095367432,5620,5.400000095367432,0
2023-08-15,5.449999809265137,5.449999809265137,5.050000190734863,5.300000190734863,5260,5.300000190734863,0
2023-08-16,6.0,8.199999809265137,4.300000190734863,4.494999885559082,5105560,4.494999885559082,0
